frequency,db(v(Vout)),180*cph(v(Vout))/pi
1,70.9655946,179.768088
1.12201845,70.9655762,179.73979
1.25892541,70.965553,179.70804
1.41253754,70.9655238,179.672417
1.58489319,70.965487,179.632446
1.77827941,70.9654408,179.5876
1.99526231,70.9653825,179.537281
2.23872114,70.9653092,179.480824
2.51188643,70.9652169,179.417479
2.81838293,70.9651007,179.346407
3.16227766,70.9649544,179.266664
3.54813389,70.9647702,179.177195
3.98107171,70.9645383,179.076815
4.46683592,70.9642465,178.964192
5.01187234,70.9638791,178.837837
5.62341325,70.9634166,178.696078
6.30957344,70.9628344,178.537041
7.07945784,70.9621016,178.358625
7.94328235,70.9611792,178.158478
8.91250938,70.9600183,177.933962
10,70.9585572,177.682127
11.2201845,70.9567185,177.399671
12.5892541,70.9544049,177.082901
14.1253754,70.9514939,176.727693
15.8489319,70.947832,176.329443
17.7827941,70.9432263,175.883024
19.9526231,70.937435,175.382731
22.3872114,70.9301551,174.822236
25.1188643,70.9210077,174.194535
28.1838293,70.909519,173.491911
31.6227766,70.8950987,172.705897
35.4813389,70.8770125,171.827262
39.8107171,70.8543499,170.846021
44.6683592,70.8259864,169.751486
50.1187234,70.7905404,168.532369
56.2341325,70.7463239,167.176959
63.0957344,70.6912912,165.67341
70.7945784,70.6229862,164.010141
79.4328235,70.5384953,162.176407
89.1250938,70.4344128,160.163037
100,70.3068307,157.963362
112.201845,70.1513668,155.574305
125.892541,69.9632449,152.997574
141.253754,69.7374426,150.240834
158.489319,69.4689134,147.318687
177.827941,69.1528774,144.253229
199.526231,68.7851593,141.073963
223.872114,68.3625333,137.816909
251.188643,67.8830207,134.522869
281.838293,67.3460858,131.235016
316.227766,66.7526907,127.996116
354.813389,66.1051976,124.84582
398.107171,65.4071384,121.818414
446.683592,64.6628977,118.941325
501.187234,63.8773651,116.234468
562.341325,63.0556073,113.710366
630.957344,62.2025953,111.374852
707.945784,61.3230041,109.228126
794.328235,60.4210857,107.265946
891.250938,59.5006047,105.480805
1000,58.5648231,103.862975
1122.01845,57.6165191,102.401383
1258.92541,56.6580257,101.084299
1412.53754,55.6912806,99.8998513
1584.89319,54.7178785,98.8363986
1778.27941,53.7391226,97.8827755
1995.26231,52.7560718,97.0284489
2238.72114,51.7695822,96.2636043
2511.88643,50.7803438,95.5791818
2818.38293,49.7889109,94.9668771
3162.27766,48.795728,94.4191195
3548.13389,47.8011504,93.9290351
3981.07171,46.8054621,93.4904014
4466.83592,45.8088898,93.0975971
5011.87234,44.811614,92.7455515
5623.41325,43.8137786,92.4296935
6309.57344,42.8154981,92.1459029
7079.45784,41.8168636,91.8904646
7943.28235,40.8179475,91.6600247
8912.50938,39.8188074,91.4515509
10000,38.8194889,91.2622947
11220.1845,37.8200283,91.0897576
12589.2541,36.8204541,90.931659
14125.3754,35.8207891,90.7859075
15848.9319,34.821051,90.6505737
17782.7941,33.8212539,90.5238648
19952.6231,32.8214084,90.4041019
22387.2114,31.8215229,90.2896974
25118.8643,30.8216035,90.1791343
28183.8293,29.8216543,90.0709465
31622.7766,28.8216781,89.9636989
35481.3389,27.8216763,89.855969
39810.7171,26.8216486,89.7463277
44668.3592,25.8215936,89.6333205
50118.7234,24.8215084,89.5154482
56234.1325,23.8213885,89.3911474
63095.7344,22.8212274,89.2587691
70794.5784,21.8210166,89.1165577
79432.8235,20.8207449,88.9626272
89125.0938,19.8203977,88.7949367
100000,18.8199566,88.6112631
112201.845,17.8193981,88.4091724
125892.541,16.8186925,88.1859873
141253.754,15.8178022,87.9387525
158489.319,14.8166797,87.664196
