time,v(Vout)
0,0.500176906
1E-10,0.500176906
2E-10,0.500176906
4E-10,0.500176906
8E-10,0.500176907
1.6E-09,0.500176907
3.2E-09,0.500176909
6.4E-09,0.500176911
1.28E-08,0.500176914
2.28E-08,0.500176916
3.28E-08,0.500176914
4.28E-08,0.50017691
5.28E-08,0.500176906
6.28E-08,0.500176901
7.28E-08,0.500176897
8.28E-08,0.500176894
9.28E-08,0.500176891
1.028E-07,0.500176889
1.128E-07,0.500176888
1.228E-07,0.500176887
1.328E-07,0.500176887
1.428E-07,0.500176887
1.528E-07,0.500176887
1.628E-07,0.500176887
1.728E-07,0.500176887
1.828E-07,0.500176888
1.928E-07,0.500176889
2.028E-07,0.500176889
2.128E-07,0.50017689
2.228E-07,0.500176891
2.328E-07,0.500176891
2.428E-07,0.500176892
2.528E-07,0.500176893
2.628E-07,0.500176893
2.728E-07,0.500176894
2.828E-07,0.500176894
2.928E-07,0.500176895
3.028E-07,0.500176895
3.128E-07,0.500176896
3.228E-07,0.500176896
3.328E-07,0.500176897
3.428E-07,0.500176897
3.528E-07,0.500176897
3.628E-07,0.500176897
3.728E-07,0.500176897
3.828E-07,0.500176897
3.928E-07,0.500176898
4.028E-07,0.500176898
4.128E-07,0.500176898
4.228E-07,0.500176898
4.328E-07,0.500176898
4.428E-07,0.500176898
4.528E-07,0.500176898
4.628E-07,0.500176898
4.728E-07,0.500176898
4.828E-07,0.500176898
4.928E-07,0.500176898
5.028E-07,0.500176898
5.128E-07,0.500176898
5.228E-07,0.500176898
5.328E-07,0.500176898
5.428E-07,0.500176898
5.528E-07,0.500176898
5.628E-07,0.500176898
5.728E-07,0.500176898
5.828E-07,0.500176898
5.928E-07,0.500176898
6.028E-07,0.500176898
6.128E-07,0.500176898
6.228E-07,0.500176898
6.328E-07,0.500176899
6.428E-07,0.500176898
6.528E-07,0.500176899
6.628E-07,0.500176899
6.728E-07,0.500176899
6.828E-07,0.500176899
6.928E-07,0.500176899
7.028E-07,0.500176899
7.128E-07,0.500176899
7.228E-07,0.500176899
7.328E-07,0.500176899
7.428E-07,0.500176899
7.528E-07,0.500176899
7.628E-07,0.500176899
7.728E-07,0.500176899
7.828E-07,0.500176899
7.928E-07,0.500176899
8.028E-07,0.500176899
8.128E-07,0.500176899
8.228E-07,0.500176899
8.328E-07,0.500176899
8.428E-07,0.500176899
8.528E-07,0.500176899
8.628E-07,0.500176899
8.728E-07,0.500176899
8.828E-07,0.500176898
8.928E-07,0.500176898
9.028E-07,0.500176898
9.128E-07,0.500176898
9.228E-07,0.500176898
9.328E-07,0.500176898
9.428E-07,0.500176899
9.528E-07,0.500176899
9.628E-07,0.500176899
9.728E-07,0.500176899
9.828E-07,0.500176899
9.928E-07,0.500176899
1E-06,0.500176899
1.001E-06,0.500175588
1.003E-06,0.500172696
1.007E-06,0.500164756
1.015E-06,0.500125131
1.025E-06,0.499987171
1.035E-06,0.499700567
1.045E-06,0.499236762
1.055E-06,0.498593487
1.065E-06,0.497780954
1.075E-06,0.496813001
1.085E-06,0.495702462
1.095E-06,0.494460717
1.1E-06,0.493793633
1.101E-06,0.493657704
1.103E-06,0.493384502
1.107E-06,0.492832511
1.115E-06,0.491729213
1.125E-06,0.490379041
1.135E-06,0.489070549
1.145E-06,0.487803303
1.155E-06,0.486576078
1.165E-06,0.485387438
1.175E-06,0.484235887
1.185E-06,0.483119906
1.195E-06,0.482037997
1.205E-06,0.480988687
1.215E-06,0.479970554
1.225E-06,0.47898223
1.235E-06,0.47802241
1.245E-06,0.477089854
1.255E-06,0.47618339
1.265E-06,0.475301913
1.275E-06,0.474444381
1.285E-06,0.473609817
1.295E-06,0.472797301
1.305E-06,0.472005973
1.315E-06,0.471235023
1.325E-06,0.470483693
1.335E-06,0.46975127
1.345E-06,0.469037086
1.355E-06,0.468340512
1.365E-06,0.467660955
1.375E-06,0.46699786
1.385E-06,0.4663507
1.395E-06,0.46571898
1.405E-06,0.465102232
1.415E-06,0.464500014
1.425E-06,0.463911906
1.435E-06,0.46333751
1.445E-06,0.462776451
1.455E-06,0.462228369
1.465E-06,0.461692924
1.475E-06,0.461169791
1.485E-06,0.460658658
1.495E-06,0.460159228
1.505E-06,0.459671216
1.515E-06,0.459194344
1.525E-06,0.458728345
1.535E-06,0.458272962
1.545E-06,0.45782794
1.555E-06,0.457393035
1.565E-06,0.456968009
1.575E-06,0.45655263
1.585E-06,0.456146684
1.595E-06,0.455749969
1.605E-06,0.455362306
1.615E-06,0.454983543
1.625E-06,0.454613555
1.635E-06,0.454252247
1.645E-06,0.453899549
1.655E-06,0.453555411
1.665E-06,0.453219799
1.675E-06,0.452892693
1.685E-06,0.452574087
1.695E-06,0.452263993
1.705E-06,0.451962461
1.715E-06,0.451669596
1.725E-06,0.4513856
1.735E-06,0.451110827
1.745E-06,0.450845864
1.755E-06,0.450591662
1.765E-06,0.450349694
1.775E-06,0.450122172
1.785E-06,0.44991223
1.795E-06,0.449723983
1.805E-06,0.449562239
1.815E-06,0.449431689
1.825E-06,0.449335651
1.835E-06,0.449274826
1.845E-06,0.449246743
1.855E-06,0.449246259
1.865E-06,0.449266827
1.875E-06,0.449301888
1.885E-06,0.449345833
1.895E-06,0.449394392
1.905E-06,0.449444586
1.915E-06,0.449494473
1.925E-06,0.449542871
1.935E-06,0.449589103
1.945E-06,0.449632828
1.955E-06,0.44967391
1.965E-06,0.449712341
1.975E-06,0.449748183
1.985E-06,0.449781542
1.995E-06,0.449812545
2.005E-06,0.449841328
2.015E-06,0.449868027
2.025E-06,0.449892777
2.035E-06,0.449915708
2.045E-06,0.449936946
2.055E-06,0.449956606
2.065E-06,0.4499748
2.075E-06,0.449991632
2.085E-06,0.4500072
2.095E-06,0.450021593
2.105E-06,0.450034898
2.115E-06,0.450047193
2.125E-06,0.450058553
2.135E-06,0.450069046
2.145E-06,0.450078737
2.155E-06,0.450087685
2.165E-06,0.450095945
2.175E-06,0.450103569
2.185E-06,0.450110605
2.195E-06,0.450117097
2.205E-06,0.450123085
2.215E-06,0.45012861
2.225E-06,0.450133705
2.235E-06,0.450138403
2.245E-06,0.450142735
2.255E-06,0.450146729
2.265E-06,0.450150411
2.275E-06,0.450153805
2.285E-06,0.450156932
2.295E-06,0.450159815
2.305E-06,0.450162471
2.315E-06,0.450164919
2.325E-06,0.450167174
2.335E-06,0.450169251
2.345E-06,0.450171165
2.355E-06,0.450172928
2.365E-06,0.450174552
2.375E-06,0.450176048
2.385E-06,0.450177425
2.395E-06,0.450178694
2.405E-06,0.450179862
2.415E-06,0.450180938
2.425E-06,0.450181929
2.435E-06,0.450182841
2.445E-06,0.450183681
2.455E-06,0.450184455
2.465E-06,0.450185167
2.475E-06,0.450185823
2.485E-06,0.450186427
2.495E-06,0.450186982
2.5E-06,0.450187243
