i(VIout),v(V1),v(V2),v(Vout)
-3.52490893E-07,0.3,0.5,0.6
-3.52490815E-07,0.30001,0.5,0.6
-3.52490723E-07,0.30002,0.5,0.6
-3.52490527E-07,0.30003,0.5,0.6
-3.52490442E-07,0.30004,0.5,0.6
-3.52490343E-07,0.30005,0.5,0.6
-3.52490268E-07,0.30006,0.5,0.6
-3.52490172E-07,0.30007,0.5,0.6
-3.52490027E-07,0.30008,0.5,0.6
-3.5248992E-07,0.30009,0.5,0.6
-3.52489849E-07,0.3001,0.5,0.6
-3.52489668E-07,0.30011,0.5,0.6
-3.52489636E-07,0.30012,0.5,0.6
-3.52489462E-07,0.30013,0.5,0.6
-3.5248933E-07,0.30014,0.5,0.6
-3.5248932E-07,0.30015,0.5,0.6
-3.52489174E-07,0.30016,0.5,0.6
-3.52488978E-07,0.30017,0.5,0.6
-3.52488907E-07,0.30018,0.5,0.6
-3.52488758E-07,0.30019,0.5,0.6
-3.52488708E-07,0.3002,0.5,0.6
-3.52488616E-07,0.30021,0.5,0.6
-3.52488417E-07,0.30022,0.5,0.6
-3.52488286E-07,0.30023,0.5,0.6
-3.52488247E-07,0.30024,0.5,0.6
-3.52488158E-07,0.30025,0.5,0.6
-3.52488055E-07,0.30026,0.5,0.6
-3.52487906E-07,0.30027,0.5,0.6
-3.52487817E-07,0.30028,0.5,0.6
-3.52487714E-07,0.30029,0.5,0.6
-3.52487582E-07,0.3003,0.5,0.6
-3.52487522E-07,0.30031,0.5,0.6
-3.52487334E-07,0.30032,0.5,0.6
-3.52487202E-07,0.30033,0.5,0.6
-3.52487081E-07,0.30034,0.5,0.6
-3.52487042E-07,0.30035,0.5,0.6
-3.52486961E-07,0.30036,0.5,0.6
-3.52486815E-07,0.30037,0.5,0.6
-3.52486683E-07,0.30038,0.5,0.6
-3.52486623E-07,0.30039,0.5,0.6
-3.52486502E-07,0.3004,0.5,0.6
-3.52486381E-07,0.30041,0.5,0.6
-3.52486236E-07,0.30042,0.5,0.6
-3.5248614E-07,0.30043,0.5,0.6
-3.52486069E-07,0.30044,0.5,0.6
-3.52485998E-07,0.30045,0.5,0.6
-3.52485738E-07,0.30046,0.5,0.6
-3.52485646E-07,0.30047,0.5,0.6
-3.52485579E-07,0.30048,0.5,0.6
-3.52485436E-07,0.30049,0.5,0.6
-3.52485376E-07,0.3005,0.5,0.6
-3.52485237E-07,0.30051,0.5,0.6
-3.52485102E-07,0.30052,0.5,0.6
-3.52484985E-07,0.30053,0.5,0.6
-3.52484907E-07,0.30054,0.5,0.6
-3.5248485E-07,0.30055,0.5,0.6
-3.52484641E-07,0.30056,0.5,0.6
-3.52484516E-07,0.30057,0.5,0.6
-3.52484477E-07,0.30058,0.5,0.6
-3.52484371E-07,0.30059,0.5,0.6
-3.52484239E-07,0.3006,0.5,0.6
-3.52484136E-07,0.30061,0.5,0.6
-3.52484019E-07,0.30062,0.5,0.6
-3.52483909E-07,0.30063,0.5,0.6
-3.52483802E-07,0.30064,0.5,0.6
-3.52483642E-07,0.30065,0.5,0.6
-3.52483525E-07,0.30066,0.5,0.6
-3.52483468E-07,0.30067,0.5,0.6
-3.52483355E-07,0.30068,0.5,0.6
-3.52483266E-07,0.30069,0.5,0.6
-3.52483102E-07,0.3007,0.5,0.6
-3.52482985E-07,0.30071,0.5,0.6
-3.52482886E-07,0.30072,0.5,0.6
-3.52482811E-07,0.30073,0.5,0.6
-3.52482669E-07,0.30074,0.5,0.6
-3.52482591E-07,0.30075,0.5,0.6
-3.52482459E-07,0.30076,0.5,0.6
-3.52482381E-07,0.30077,0.5,0.6
-3.52482246E-07,0.30078,0.5,0.6
-3.52482104E-07,0.30079,0.5,0.6
-3.52481955E-07,0.3008,0.5,0.6
-3.52481898E-07,0.30081,0.5,0.6
-3.52481756E-07,0.30082,0.5,0.6
-3.52481727E-07,0.30083,0.5,0.6
-3.52481592E-07,0.30084,0.5,0.6
-3.52481454E-07,0.30085,0.5,0.6
-3.52481329E-07,0.30086,0.5,0.6
-3.52481266E-07,0.30087,0.5,0.6
-3.52481067E-07,0.30088,0.5,0.6
-3.52480988E-07,0.30089,0.5,0.6
-3.52480882E-07,0.3009,0.5,0.6
-3.52480747E-07,0.30091,0.5,0.6
-3.52480647E-07,0.30092,0.5,0.6
-3.52480519E-07,0.30093,0.5,0.6
-3.52480427E-07,0.30094,0.5,0.6
-3.52480289E-07,0.30095,0.5,0.6
-3.52480193E-07,0.30096,0.5,0.6
-3.52480019E-07,0.30097,0.5,0.6
-3.52479955E-07,0.30098,0.5,0.6
-3.52479841E-07,0.30099,0.5,0.6
-3.52479812E-07,0.301,0.5,0.6
-3.52479685E-07,0.30101,0.5,0.6
-3.52479496E-07,0.30102,0.5,0.6
-3.52479407E-07,0.30103,0.5,0.6
-3.52479272E-07,0.30104,0.5,0.6
-3.52479237E-07,0.30105,0.5,0.6
-3.52479088E-07,0.30106,0.5,0.6
-3.52478899E-07,0.30107,0.5,0.6
-3.52478867E-07,0.30108,0.5,0.6
-3.5247875E-07,0.30109,0.5,0.6
-3.52478651E-07,0.3011,0.5,0.6
-3.5247848E-07,0.30111,0.5,0.6
-3.52478384E-07,0.30112,0.5,0.6
-3.52478278E-07,0.30113,0.5,0.6
-3.52478182E-07,0.30114,0.5,0.6
-3.52478033E-07,0.30115,0.5,0.6
-3.5247794E-07,0.30116,0.5,0.6
-3.52477841E-07,0.30117,0.5,0.6
-3.52477727E-07,0.30118,0.5,0.6
-3.5247767E-07,0.30119,0.5,0.6
-3.52477503E-07,0.3012,0.5,0.6
-3.52477386E-07,0.30121,0.5,0.6
-3.5247729E-07,0.30122,0.5,0.6
-3.52477183E-07,0.30123,0.5,0.6
-3.52476981E-07,0.30124,0.5,0.6
-3.52476931E-07,0.30125,0.5,0.6
-3.52476849E-07,0.30126,0.5,0.6
-3.5247669E-07,0.30127,0.5,0.6
-3.52476569E-07,0.30128,0.5,0.6
-3.52476462E-07,0.30129,0.5,0.6
-3.52476381E-07,0.3013,0.5,0.6
-3.52476309E-07,0.30131,0.5,0.6
-3.52476185E-07,0.30132,0.5,0.6
-3.52476047E-07,0.30133,0.5,0.6
-3.52475844E-07,0.30134,0.5,0.6
-3.5247578E-07,0.30135,0.5,0.6
-3.52475642E-07,0.30136,0.5,0.6
-3.52475517E-07,0.30137,0.5,0.6
-3.52475443E-07,0.30138,0.5,0.6
-3.52475318E-07,0.30139,0.5,0.6
-3.52475233E-07,0.3014,0.5,0.6
-3.52475091E-07,0.30141,0.5,0.6
-3.5247503E-07,0.30142,0.5,0.6
-3.52474906E-07,0.30143,0.5,0.6
-3.52474782E-07,0.30144,0.5,0.6
-3.524747E-07,0.30145,0.5,0.6
-3.5247454E-07,0.30146,0.5,0.6
-3.52474416E-07,0.30147,0.5,0.6
-3.52474348E-07,0.30148,0.5,0.6
-3.52474242E-07,0.30149,0.5,0.6
-3.52474053E-07,0.3015,0.5,0.6
-3.52473993E-07,0.30151,0.5,0.6
-3.52473897E-07,0.30152,0.5,0.6
-3.5247378E-07,0.30153,0.5,0.6
-3.52473609E-07,0.30154,0.5,0.6
-3.52473531E-07,0.30155,0.5,0.6
-3.52473407E-07,0.30156,0.5,0.6
-3.52473339E-07,0.30157,0.5,0.6
-3.52473258E-07,0.30158,0.5,0.6
-3.5247308E-07,0.30159,0.5,0.6
-3.52472966E-07,0.3016,0.5,0.6
-3.52472838E-07,0.30161,0.5,0.6
-3.52472764E-07,0.30162,0.5,0.6
-3.5247259E-07,0.30163,0.5,0.6
-3.52472462E-07,0.30164,0.5,0.6
-3.52472384E-07,0.30165,0.5,0.6
-3.52472316E-07,0.30166,0.5,0.6
-3.52472167E-07,0.30167,0.5,0.6
-3.52471982E-07,0.30168,0.5,0.6
-3.5247194E-07,0.30169,0.5,0.6
-3.52471876E-07,0.3017,0.5,0.6
-3.52471677E-07,0.30171,0.5,0.6
-3.52471616E-07,0.30172,0.5,0.6
-3.5247151E-07,0.30173,0.5,0.6
-3.52471407E-07,0.30174,0.5,0.6
-3.52471318E-07,0.30175,0.5,0.6
-3.52471112E-07,0.30176,0.5,0.6
-3.52471009E-07,0.30177,0.5,0.6
-3.52470924E-07,0.30178,0.5,0.6
-3.52470863E-07,0.30179,0.5,0.6
-3.52470675E-07,0.3018,0.5,0.6
-3.524706E-07,0.30181,0.5,0.6
-3.52470494E-07,0.30182,0.5,0.6
-3.52470373E-07,0.30183,0.5,0.6
-3.52470234E-07,0.30184,0.5,0.6
-3.52470153E-07,0.30185,0.5,0.6
-3.52470025E-07,0.30186,0.5,0.6
-3.52469904E-07,0.30187,0.5,0.6
-3.52469741E-07,0.30188,0.5,0.6
-3.52469634E-07,0.30189,0.5,0.6
-3.52469531E-07,0.3019,0.5,0.6
-3.5246946E-07,0.30191,0.5,0.6
-3.52469311E-07,0.30192,0.5,0.6
-3.52469186E-07,0.30193,0.5,0.6
-3.52469115E-07,0.30194,0.5,0.6
-3.5246897E-07,0.30195,0.5,0.6
-3.52468842E-07,0.30196,0.5,0.6
-3.52468774E-07,0.30197,0.5,0.6
-3.52468664E-07,0.30198,0.5,0.6
-3.5246855E-07,0.30199,0.5,0.6
-3.52468447E-07,0.302,0.5,0.6
-3.52468248E-07,0.30201,0.5,0.6
-3.52468163E-07,0.30202,0.5,0.6
-3.52468103E-07,0.30203,0.5,0.6
-3.52467989E-07,0.30204,0.5,0.6
-3.52467833E-07,0.30205,0.5,0.6
-3.52467694E-07,0.30206,0.5,0.6
-3.52467612E-07,0.30207,0.5,0.6
-3.52467548E-07,0.30208,0.5,0.6
-3.52467367E-07,0.30209,0.5,0.6
-3.52467271E-07,0.3021,0.5,0.6
-3.52467158E-07,0.30211,0.5,0.6
-3.5246708E-07,0.30212,0.5,0.6
-3.52466923E-07,0.30213,0.5,0.6
