v(Vout),v(V1),v(V2)
0.0327378712,0,0.1
0.0327902808,0.01,0.1
0.0328735353,0.02,0.1
0.0329783079,0.03,0.1
0.033130815,0.04,0.1
0.0333930904,0.05,0.1
0.0343680721,0.06,0.1
0.0394868715,0.07,0.1
0.0484490423,0.08,0.1
0.0655211561,0.09,0.1
1.08055298,0.1,0.1
1.80013059,0.11,0.1
1.80006961,0.12,0.1
1.79999984,0.13,0.1
1.79999942,0.14,0.1
1.7999995,0.15,0.1
1.79999951,0.16,0.1
1.79999951,0.17,0.1
1.79999952,0.18,0.1
1.79999953,0.19,0.1
1.79999953,0.2,0.1
1.79999954,0.21,0.1
1.79999954,0.22,0.1
1.79999955,0.23,0.1
1.79999955,0.24,0.1
1.79999956,0.25,0.1
1.79999957,0.26,0.1
1.79999957,0.27,0.1
1.79999957,0.28,0.1
1.79999958,0.29,0.1
1.79999958,0.3,0.1
1.79999958,0.31,0.1
1.79999959,0.32,0.1
1.79999959,0.33,0.1
1.79999959,0.34,0.1
1.7999996,0.35,0.1
1.7999996,0.36,0.1
1.7999996,0.37,0.1
1.79999961,0.38,0.1
1.79999961,0.39,0.1
1.79999961,0.4,0.1
1.79999962,0.41,0.1
1.79999962,0.42,0.1
1.79999962,0.43,0.1
1.79999963,0.44,0.1
1.79999963,0.45,0.1
1.79999963,0.46,0.1
1.79999963,0.47,0.1
1.79999963,0.48,0.1
1.79999964,0.49,0.1
1.79999964,0.5,0.1
1.79999964,0.51,0.1
1.79999965,0.52,0.1
1.79999965,0.53,0.1
1.79999965,0.54,0.1
1.79999965,0.55,0.1
1.79999966,0.56,0.1
1.79999966,0.57,0.1
1.79999966,0.58,0.1
1.79999966,0.59,0.1
1.79999967,0.6,0.1
1.79999967,0.61,0.1
1.79999967,0.62,0.1
1.79999967,0.63,0.1
1.79999967,0.64,0.1
1.79999968,0.65,0.1
1.79999968,0.66,0.1
1.79999968,0.67,0.1
1.79999969,0.68,0.1
1.79999969,0.69,0.1
1.79999969,0.7,0.1
1.79999969,0.71,0.1
1.79999969,0.72,0.1
1.79999969,0.73,0.1
1.7999997,0.74,0.1
1.7999997,0.75,0.1
1.7999997,0.76,0.1
1.79999971,0.77,0.1
1.79999971,0.78,0.1
1.79999971,0.79,0.1
1.79999971,0.8,0.1
1.79999972,0.81,0.1
1.79999972,0.82,0.1
1.79999972,0.83,0.1
1.79999973,0.84,0.1
1.79999973,0.85,0.1
1.79999974,0.86,0.1
1.79999974,0.87,0.1
1.79999974,0.88,0.1
1.79999975,0.89,0.1
1.79999975,0.9,0.1
1.79999976,0.91,0.1
1.79999977,0.92,0.1
1.79999977,0.93,0.1
1.79999977,0.94,0.1
1.79999978,0.95,0.1
1.79999978,0.96,0.1
1.79999978,0.97,0.1
1.79999979,0.98,0.1
1.79999979,0.99,0.1
1.79999979,1,0.1
1.7999998,1.01,0.1
1.7999998,1.02,0.1
1.79999979,1.03,0.1
1.7999998,1.04,0.1
1.7999998,1.05,0.1
1.7999998,1.06,0.1
1.7999998,1.07,0.1
1.7999998,1.08,0.1
1.7999998,1.09,0.1
1.7999998,1.1,0.1
1.7999998,1.11,0.1
1.7999998,1.12,0.1
1.7999998,1.13,0.1
1.7999998,1.14,0.1
1.7999998,1.15,0.1
1.7999998,1.16,0.1
1.7999998,1.17,0.1
1.7999998,1.18,0.1
1.7999998,1.19,0.1
1.7999998,1.2,0.1
1.7999998,1.21,0.1
1.7999998,1.22,0.1
1.7999998,1.23,0.1
1.7999998,1.24,0.1
1.7999998,1.25,0.1
1.7999998,1.26,0.1
1.7999998,1.27,0.1
1.7999998,1.28,0.1
1.7999998,1.29,0.1
1.7999998,1.3,0.1
1.7999998,1.31,0.1
1.7999998,1.32,0.1
1.7999998,1.33,0.1
1.7999998,1.34,0.1
1.7999998,1.35,0.1
1.7999998,1.36,0.1
1.7999998,1.37,0.1
1.7999998,1.38,0.1
1.7999998,1.39,0.1
1.7999998,1.4,0.1
1.7999998,1.41,0.1
1.7999998,1.42,0.1
1.7999998,1.43,0.1
1.7999998,1.44,0.1
1.7999998,1.45,0.1
1.7999998,1.46,0.1
1.7999998,1.47,0.1
1.7999998,1.48,0.1
1.7999998,1.49,0.1
1.7999998,1.5,0.1
1.7999998,1.51,0.1
1.7999998,1.52,0.1
1.7999998,1.53,0.1
1.7999998,1.54,0.1
1.7999998,1.55,0.1
1.7999998,1.56,0.1
1.7999998,1.57,0.1
1.7999998,1.58,0.1
1.7999998,1.59,0.1
1.7999998,1.6,0.1
1.7999998,1.61,0.1
1.7999998,1.62,0.1
1.7999998,1.63,0.1
1.7999998,1.64,0.1
1.7999998,1.65,0.1
1.7999998,1.66,0.1
1.7999998,1.67,0.1
1.7999998,1.68,0.1
1.7999998,1.69,0.1
1.7999998,1.7,0.1
1.7999998,1.71,0.1
1.7999998,1.72,0.1
1.7999998,1.73,0.1
1.7999998,1.74,0.1
1.7999998,1.75,0.1
1.7999998,1.76,0.1
1.7999998,1.77,0.1
1.7999998,1.78,0.1
1.7999998,1.79,0.1
1.7999998,1.8,0.1
0.0266324861,0,0.3
0.0266350992,0.01,0.3
0.0266382552,0.02,0.3
0.0266416137,0.03,0.3
0.0266453446,0.04,0.3
0.0266495089,0.05,0.3
0.0266541978,0.06,0.3
0.02665947,0.07,0.3
0.0266654421,0.08,0.3
0.0266722398,0.09,0.3
0.0266800243,0.1,0.3
0.0266889699,0.11,0.3
0.0266993247,0.12,0.3
0.0267113711,0.13,0.3
0.0267255022,0.14,0.3
0.0267421731,0.15,0.3
0.0267620267,0.16,0.3
0.0267858904,0.17,0.3
0.0268149016,0.18,0.3
0.0268506931,0.19,0.3
0.0268957068,0.2,0.3
0.0269538742,0.21,0.3
0.0270322867,0.22,0.3
0.0271459716,0.23,0.3
0.0273373396,0.24,0.3
0.0279669119,0.25,0.3
0.031318386,0.26,0.3
0.0367676737,0.27,0.3
0.0446520267,0.28,0.3
0.0594081499,0.29,0.3
1.06059678,0.3,0.3
1.8008017,0.31,0.3
1.80040957,0.32,0.3
1.7999989,0.33,0.3
1.79999453,0.34,0.3
1.79999957,0.35,0.3
1.79999959,0.36,0.3
1.7999996,0.37,0.3
1.7999996,0.38,0.3
1.79999961,0.39,0.3
1.79999961,0.4,0.3
1.79999961,0.41,0.3
1.79999962,0.42,0.3
1.79999962,0.43,0.3
1.79999962,0.44,0.3
1.79999962,0.45,0.3
1.79999963,0.46,0.3
1.79999963,0.47,0.3
1.79999963,0.48,0.3
1.79999964,0.49,0.3
1.79999964,0.5,0.3
1.79999964,0.51,0.3
1.79999965,0.52,0.3
1.79999965,0.53,0.3
1.79999965,0.54,0.3
1.79999965,0.55,0.3
1.79999966,0.56,0.3
1.79999966,0.57,0.3
1.79999966,0.58,0.3
1.79999967,0.59,0.3
1.79999967,0.6,0.3
1.79999967,0.61,0.3
1.79999967,0.62,0.3
1.79999967,0.63,0.3
1.79999967,0.64,0.3
1.79999968,0.65,0.3
1.79999968,0.66,0.3
1.79999968,0.67,0.3
1.79999968,0.68,0.3
1.79999968,0.69,0.3
1.79999969,0.7,0.3
1.79999969,0.71,0.3
1.79999969,0.72,0.3
1.79999969,0.73,0.3
1.7999997,0.74,0.3
1.7999997,0.75,0.3
1.7999997,0.76,0.3
1.7999997,0.77,0.3
1.79999971,0.78,0.3
1.79999971,0.79,0.3
1.79999971,0.8,0.3
1.79999972,0.81,0.3
1.79999972,0.82,0.3
1.79999972,0.83,0.3
1.79999973,0.84,0.3
1.79999973,0.85,0.3
1.79999974,0.86,0.3
1.79999974,0.87,0.3
1.79999974,0.88,0.3
1.79999975,0.89,0.3
1.79999976,0.9,0.3
1.79999976,0.91,0.3
1.79999977,0.92,0.3
1.79999977,0.93,0.3
1.79999978,0.94,0.3
1.79999978,0.95,0.3
1.79999978,0.96,0.3
1.79999978,0.97,0.3
1.79999979,0.98,0.3
1.79999979,0.99,0.3
1.79999979,1,0.3
1.79999979,1.01,0.3
1.79999979,1.02,0.3
1.7999998,1.03,0.3
1.7999998,1.04,0.3
1.7999998,1.05,0.3
1.7999998,1.06,0.3
1.7999998,1.07,0.3
1.7999998,1.08,0.3
1.7999998,1.09,0.3
1.7999998,1.1,0.3
1.7999998,1.11,0.3
1.7999998,1.12,0.3
1.7999998,1.13,0.3
