Vout,V1,V2
0.0327378712,0,0.1
0.0327431116,0.001,0.1
0.0327486051,0.002,0.1
0.032754162,0.003,0.1
0.0327598564,0.004,0.1
0.0327656864,0.005,0.1
0.0327716576,0.006,0.1
0.0327777935,0.007,0.1
0.0327840638,0.008,0.1
0.0327905037,0.009,0.1
0.0327971121,0.01,0.1
0.0328038952,0.011,0.1
0.0328108633,0.012,0.1
0.0328180178,0.013,0.1
0.0328253625,0.014,0.1
0.0328329088,0.015,0.1
0.0328406713,0.016,0.1
0.0328486656,0.017,0.1
0.0328568867,0.018,0.1
0.0328653484,0.019,0.1
0.0328740667,0.02,0.1
0.032883054,0.021,0.1
0.0328923182,0.022,0.1
0.032901879,0.023,0.1
0.0329117616,0.024,0.1
0.0329219577,0.025,0.1
0.0329325071,0.026,0.1
0.0329434275,0.027,0.1
0.0329547262,0.028,0.1
0.0329664478,0.029,0.1
0.0329785993,0.03,0.1
0.0329912216,0.031,0.1
0.033004344,0.032,0.1
0.0330180066,0.033,0.1
0.0330322301,0.034,0.1
0.033047075,0.035,0.1
0.0330625937,0.036,0.1
0.0330788356,0.037,0.1
0.0330958623,0.038,0.1
0.0331137435,0.039,0.1
0.0331325668,0.04,0.1
0.0331524312,0.041,0.1
0.0331734399,0.042,0.1
0.0331957252,0.043,0.1
0.0332194436,0.044,0.1
0.0332447677,0.045,0.1
0.0332719255,0.046,0.1
0.0333011773,0.047,0.1
0.0333328703,0.048,0.1
0.0333673949,0.049,0.1
0.0334052823,0.05,0.1
0.0334472058,0.051,0.1
0.0334940474,0.052,0.1
0.0335470031,0.053,0.1
0.0336076939,0.054,0.1
0.0336784132,0.055,0.1
0.0337624509,0.056,0.1
0.0338646606,0.057,0.1
0.0339921846,0.058,0.1
0.0341553624,0.059,0.1
0.0343678919,0.06,0.1
0.0346441463,0.061,0.1
0.0349922258,0.062,0.1
0.0354084999,0.063,0.1
0.035881664,0.064,0.1
0.0364005726,0.065,0.1
0.0369574787,0.066,0.1
0.0375478676,0.067,0.1
0.0381695041,0.068,0.1
0.0388216488,0.069,0.1
0.0395045085,0.07,0.1
0.0402189809,0.071,0.1
0.0409664625,0.072,0.1
0.0417488085,0.073,0.1
0.0425683038,0.074,0.1
0.0434276185,0.075,0.1
0.0443299264,0.076,0.1
0.0452788535,0.077,0.1
0.0462786361,0.078,0.1
0.0473341784,0.079,0.1
0.0484511188,0.08,0.1
0.0496360813,0.081,0.1
0.0508967814,0.082,0.1
0.0522423527,0.083,0.1
0.0536836931,0.084,0.1
0.0552341652,0.085,0.1
0.0569109989,0.086,0.1
0.0587357197,0.087,0.1
0.060741345,0.088,0.1
0.0629765047,0.089,0.1
0.0655191888,0.09,0.1
0.0684935727,0.091,0.1
0.0720876066,0.092,0.1
0.0765653531,0.093,0.1
0.0822770777,0.094,0.1
0.0896836714,0.095,0.1
0.0994164534,0.096,0.1
0.112556574,0.097,0.1
0.13075614,0.098,0.1
0.159927824,0.099,0.1
1.08055143,0.1,0.1
1.76600499,0.101,0.1
1.78167189,0.102,0.1
1.78930284,0.103,0.1
1.792832,0.104,0.1
1.79541882,0.105,0.1
1.79728516,0.106,0.1
1.79847935,0.107,0.1
1.79919749,0.108,0.1
1.7996012,0.109,0.1
1.79981188,0.11,0.1
1.79991474,0.111,0.1
1.79996234,0.112,0.1
1.79998349,0.113,0.1
1.79999257,0.114,0.1
1.7999964,0.115,0.1
1.799998,0.116,0.1
1.79999867,0.117,0.1
1.79999894,0.118,0.1
1.79999908,0.119,0.1
1.79999913,0.12,0.1
1.79999918,0.121,0.1
1.79999921,0.122,0.1
1.79999924,0.123,0.1
1.79999926,0.124,0.1
1.79999927,0.125,0.1
1.7999993,0.126,0.1
1.79999932,0.127,0.1
1.79999934,0.128,0.1
1.79999936,0.129,0.1
1.79999937,0.13,0.1
1.79999938,0.131,0.1
1.7999994,0.132,0.1
1.79999941,0.133,0.1
1.79999942,0.134,0.1
1.79999943,0.135,0.1
1.79999944,0.136,0.1
1.79999945,0.137,0.1
1.79999946,0.138,0.1
1.79999947,0.139,0.1
1.79999947,0.14,0.1
1.79999948,0.141,0.1
1.79999948,0.142,0.1
1.79999948,0.143,0.1
1.79999949,0.144,0.1
1.79999949,0.145,0.1
1.79999949,0.146,0.1
1.7999995,0.147,0.1
1.7999995,0.148,0.1
1.7999995,0.149,0.1
1.7999995,0.15,0.1
1.7999995,0.151,0.1
1.7999995,0.152,0.1
1.7999995,0.153,0.1
1.79999951,0.154,0.1
1.79999951,0.155,0.1
1.7999995,0.156,0.1
1.79999951,0.157,0.1
1.79999951,0.158,0.1
1.79999951,0.159,0.1
1.79999951,0.16,0.1
1.79999951,0.161,0.1
1.79999951,0.162,0.1
1.79999951,0.163,0.1
1.79999951,0.164,0.1
1.79999952,0.165,0.1
1.79999951,0.166,0.1
1.79999951,0.167,0.1
1.79999952,0.168,0.1
1.79999951,0.169,0.1
1.79999952,0.17,0.1
1.79999952,0.171,0.1
1.79999952,0.172,0.1
1.79999952,0.173,0.1
1.79999952,0.174,0.1
1.79999952,0.175,0.1
1.79999952,0.176,0.1
1.79999952,0.177,0.1
1.79999952,0.178,0.1
1.79999953,0.179,0.1
1.79999952,0.18,0.1
1.79999952,0.181,0.1
1.79999952,0.182,0.1
1.79999953,0.183,0.1
1.79999952,0.184,0.1
1.79999952,0.185,0.1
1.79999953,0.186,0.1
1.79999953,0.187,0.1
1.79999953,0.188,0.1
1.79999953,0.189,0.1
1.79999953,0.19,0.1
1.79999953,0.191,0.1
1.79999953,0.192,0.1
1.79999953,0.193,0.1
1.79999953,0.194,0.1
1.79999953,0.195,0.1
1.79999953,0.196,0.1
1.79999954,0.197,0.1
1.79999954,0.198,0.1
1.79999953,0.199,0.1
1.79999954,0.2,0.1
1.79999953,0.201,0.1
1.79999953,0.202,0.1
1.79999954,0.203,0.1
1.79999953,0.204,0.1
1.79999953,0.205,0.1
1.79999954,0.206,0.1
1.79999954,0.207,0.1
1.79999954,0.208,0.1
1.79999954,0.209,0.1
1.79999954,0.21,0.1
1.79999954,0.211,0.1
1.79999954,0.212,0.1
1.79999954,0.213,0.1
1.79999954,0.214,0.1
1.79999955,0.215,0.1
1.79999954,0.216,0.1
1.79999954,0.217,0.1
1.79999954,0.218,0.1
1.79999954,0.219,0.1
1.79999955,0.22,0.1
1.79999955,0.221,0.1
1.79999955,0.222,0.1
1.79999955,0.223,0.1
1.79999955,0.224,0.1
1.79999955,0.225,0.1
1.79999955,0.226,0.1
1.79999955,0.227,0.1
1.79999955,0.228,0.1
1.79999955,0.229,0.1
1.79999955,0.23,0.1
1.79999955,0.231,0.1
1.79999955,0.232,0.1
1.79999955,0.233,0.1
1.79999955,0.234,0.1
1.79999955,0.235,0.1
1.79999955,0.236,0.1
1.79999955,0.237,0.1
1.79999955,0.238,0.1
1.79999956,0.239,0.1
1.79999955,0.24,0.1
1.79999956,0.241,0.1
1.79999956,0.242,0.1
1.79999955,0.243,0.1
1.79999956,0.244,0.1
1.79999956,0.245,0.1
1.79999956,0.246,0.1
1.79999955,0.247,0.1
1.79999956,0.248,0.1
1.79999956,0.249,0.1
1.79999956,0.25,0.1
1.79999956,0.251,0.1
1.79999956,0.252,0.1
1.79999956,0.253,0.1
1.79999956,0.254,0.1
1.79999956,0.255,0.1
1.79999956,0.256,0.1
1.79999956,0.257,0.1
1.79999956,0.258,0.1
1.79999956,0.259,0.1
1.79999956,0.26,0.1
1.79999957,0.261,0.1
1.79999956,0.262,0.1
1.79999956,0.263,0.1
1.79999956,0.264,0.1
1.79999956,0.265,0.1
1.79999956,0.266,0.1
1.79999957,0.267,0.1
1.79999957,0.268,0.1
1.79999957,0.269,0.1
1.79999957,0.27,0.1
1.79999957,0.271,0.1
1.79999957,0.272,0.1
1.79999957,0.273,0.1
1.79999957,0.274,0.1
1.79999957,0.275,0.1
1.79999957,0.276,0.1
1.79999957,0.277,0.1
1.79999957,0.278,0.1
1.79999957,0.279,0.1
1.79999957,0.28,0.1
1.79999957,0.281,0.1
1.79999957,0.282,0.1
1.79999957,0.283,0.1
1.79999957,0.284,0.1
1.79999957,0.285,0.1
1.79999957,0.286,0.1
1.79999957,0.287,0.1
1.79999957,0.288,0.1
1.79999958,0.289,0.1
1.79999957,0.29,0.1
1.79999958,0.291,0.1
1.79999958,0.292,0.1
1.79999958,0.293,0.1
1.79999958,0.294,0.1
1.79999958,0.295,0.1
1.79999957,0.296,0.1
1.79999958,0.297,0.1
1.79999958,0.298,0.1
1.79999958,0.299,0.1
1.79999958,0.3,0.1
1.79999958,0.301,0.1
1.79999958,0.302,0.1
1.79999958,0.303,0.1
1.79999958,0.304,0.1
1.79999958,0.305,0.1
1.79999958,0.306,0.1
1.79999958,0.307,0.1
1.79999958,0.308,0.1
1.79999958,0.309,0.1
1.79999958,0.31,0.1
1.79999958,0.311,0.1
1.79999958,0.312,0.1
1.79999959,0.313,0.1
1.79999958,0.314,0.1
1.79999959,0.315,0.1
1.79999959,0.316,0.1
1.79999959,0.317,0.1
1.79999958,0.318,0.1
1.79999959,0.319,0.1
1.79999959,0.32,0.1
1.79999959,0.321,0.1
1.79999959,0.322,0.1
1.79999958,0.323,0.1
1.79999959,0.324,0.1
1.79999959,0.325,0.1
1.79999959,0.326,0.1
1.79999959,0.327,0.1
1.79999959,0.328,0.1
1.79999959,0.329,0.1
1.79999959,0.33,0.1
1.79999959,0.331,0.1
1.79999959,0.332,0.1
1.79999959,0.333,0.1
1.79999959,0.334,0.1
1.79999959,0.335,0.1
1.79999959,0.336,0.1
1.79999959,0.337,0.1
1.79999959,0.338,0.1
1.79999959,0.339,0.1
1.79999959,0.34,0.1
1.7999996,0.341,0.1
1.7999996,0.342,0.1
1.79999959,0.343,0.1
1.79999959,0.344,0.1
1.7999996,0.345,0.1
1.7999996,0.346,0.1
1.79999959,0.347,0.1
1.79999959,0.348,0.1
1.79999959,0.349,0.1
1.7999996,0.35,0.1
1.79999959,0.351,0.1
1.7999996,0.352,0.1
1.7999996,0.353,0.1
1.7999996,0.354,0.1
1.7999996,0.355,0.1
1.7999996,0.356,0.1
1.7999996,0.357,0.1
1.7999996,0.358,0.1
1.7999996,0.359,0.1
1.7999996,0.36,0.1
1.7999996,0.361,0.1
1.7999996,0.362,0.1
1.7999996,0.363,0.1
1.7999996,0.364,0.1
1.7999996,0.365,0.1
1.79999961,0.366,0.1
1.7999996,0.367,0.1
1.7999996,0.368,0.1
1.79999961,0.369,0.1
1.79999961,0.37,0.1
1.7999996,0.371,0.1
1.7999996,0.372,0.1
1.7999996,0.373,0.1
1.7999996,0.374,0.1
1.7999996,0.375,0.1
1.7999996,0.376,0.1
1.79999961,0.377,0.1
1.79999961,0.378,0.1
1.79999961,0.379,0.1
1.79999961,0.38,0.1
1.79999961,0.381,0.1
1.79999961,0.382,0.1
1.79999961,0.383,0.1
1.79999961,0.384,0.1
1.79999961,0.385,0.1
1.79999961,0.386,0.1
1.79999961,0.387,0.1
1.79999961,0.388,0.1
1.7999996,0.389,0.1
1.79999961,0.39,0.1
1.79999961,0.391,0.1
1.79999961,0.392,0.1
1.79999961,0.393,0.1
1.79999961,0.394,0.1
1.79999961,0.395,0.1
1.79999961,0.396,0.1
1.79999961,0.397,0.1
1.79999961,0.398,0.1
1.79999961,0.399,0.1
1.79999961,0.4,0.1
1.79999961,0.401,0.1
1.79999961,0.402,0.1
1.79999961,0.403,0.1
1.79999961,0.404,0.1
1.79999962,0.405,0.1
1.79999961,0.406,0.1
1.79999961,0.407,0.1
1.79999962,0.408,0.1
1.79999961,0.409,0.1
1.79999961,0.41,0.1
1.79999962,0.411,0.1
1.79999962,0.412,0.1
1.79999962,0.413,0.1
1.79999962,0.414,0.1
1.79999962,0.415,0.1
1.79999962,0.416,0.1
1.79999962,0.417,0.1
1.79999962,0.418,0.1
1.79999962,0.419,0.1
1.79999962,0.42,0.1
1.79999962,0.421,0.1
1.79999962,0.422,0.1
1.79999962,0.423,0.1
1.79999962,0.424,0.1
1.79999962,0.425,0.1
1.79999962,0.426,0.1
1.79999962,0.427,0.1
1.79999962,0.428,0.1
1.79999962,0.429,0.1
1.79999962,0.43,0.1
1.79999962,0.431,0.1
1.79999962,0.432,0.1
1.79999962,0.433,0.1
1.79999962,0.434,0.1
1.79999962,0.435,0.1
1.79999962,0.436,0.1
1.79999962,0.437,0.1
1.79999962,0.438,0.1
1.79999963,0.439,0.1
1.79999962,0.44,0.1
1.79999962,0.441,0.1
1.79999962,0.442,0.1
1.79999963,0.443,0.1
1.79999963,0.444,0.1
1.79999963,0.445,0.1
1.79999963,0.446,0.1
1.79999963,0.447,0.1
1.79999963,0.448,0.1
1.79999963,0.449,0.1
1.79999963,0.45,0.1
1.79999963,0.451,0.1
1.79999963,0.452,0.1
1.79999963,0.453,0.1
1.79999963,0.454,0.1
1.79999963,0.455,0.1
1.79999963,0.456,0.1
1.79999963,0.457,0.1
1.79999963,0.458,0.1
1.79999963,0.459,0.1
1.79999963,0.46,0.1
1.79999963,0.461,0.1
1.79999963,0.462,0.1
1.79999963,0.463,0.1
1.79999963,0.464,0.1
1.79999963,0.465,0.1
1.79999963,0.466,0.1
1.79999963,0.467,0.1
1.79999963,0.468,0.1
1.79999963,0.469,0.1
1.79999963,0.47,0.1
1.79999963,0.471,0.1
1.79999963,0.472,0.1
1.79999963,0.473,0.1
1.79999964,0.474,0.1
1.79999964,0.475,0.1
1.79999963,0.476,0.1
1.79999963,0.477,0.1
1.79999964,0.478,0.1
1.79999963,0.479,0.1
1.79999964,0.48,0.1
1.79999963,0.481,0.1
1.79999963,0.482,0.1
1.79999964,0.483,0.1
1.79999964,0.484,0.1
1.79999964,0.485,0.1
1.79999964,0.486,0.1
1.79999964,0.487,0.1
1.79999964,0.488,0.1
1.79999964,0.489,0.1
1.79999964,0.49,0.1
1.79999964,0.491,0.1
1.79999964,0.492,0.1
1.79999964,0.493,0.1
1.79999964,0.494,0.1
1.79999964,0.495,0.1
1.79999964,0.496,0.1
1.79999964,0.497,0.1
1.79999964,0.498,0.1
1.79999964,0.499,0.1
1.79999964,0.5,0.1
1.79999964,0.501,0.1
1.79999964,0.502,0.1
1.79999964,0.503,0.1
1.79999964,0.504,0.1
1.79999964,0.505,0.1
1.79999964,0.506,0.1
1.79999964,0.507,0.1
1.79999964,0.508,0.1
1.79999964,0.509,0.1
1.79999964,0.51,0.1
1.79999965,0.511,0.1
1.79999965,0.512,0.1
1.79999964,0.513,0.1
1.79999964,0.514,0.1
1.79999964,0.515,0.1
1.79999965,0.516,0.1
1.79999965,0.517,0.1
1.79999965,0.518,0.1
1.79999965,0.519,0.1
1.79999965,0.52,0.1
1.79999964,0.521,0.1
1.79999965,0.522,0.1
1.79999965,0.523,0.1
1.79999965,0.524,0.1
1.79999964,0.525,0.1
1.79999965,0.526,0.1
1.79999965,0.527,0.1
1.79999965,0.528,0.1
1.79999965,0.529,0.1
1.79999965,0.53,0.1
1.79999965,0.531,0.1
1.79999965,0.532,0.1
1.79999965,0.533,0.1
1.79999965,0.534,0.1
1.79999965,0.535,0.1
1.79999965,0.536,0.1
1.79999965,0.537,0.1
1.79999965,0.538,0.1
1.79999965,0.539,0.1
1.79999965,0.54,0.1
1.79999965,0.541,0.1
1.79999965,0.542,0.1
1.79999965,0.543,0.1
1.79999965,0.544,0.1
1.79999965,0.545,0.1
1.79999965,0.546,0.1
1.79999965,0.547,0.1
1.79999965,0.548,0.1
1.79999965,0.549,0.1
1.79999965,0.55,0.1
1.79999965,0.551,0.1
1.79999965,0.552,0.1
1.79999966,0.553,0.1
1.79999966,0.554,0.1
1.79999966,0.555,0.1
1.79999966,0.556,0.1
1.79999965,0.557,0.1
1.79999965,0.558,0.1
1.79999965,0.559,0.1
1.79999966,0.56,0.1
1.79999966,0.561,0.1
1.79999966,0.562,0.1
1.79999966,0.563,0.1
1.79999966,0.564,0.1
1.79999966,0.565,0.1
1.79999966,0.566,0.1
1.79999966,0.567,0.1
1.79999966,0.568,0.1
1.79999966,0.569,0.1
1.79999966,0.57,0.1
1.79999966,0.571,0.1
1.79999966,0.572,0.1
1.79999966,0.573,0.1
1.79999966,0.574,0.1
1.79999966,0.575,0.1
1.79999966,0.576,0.1
1.79999966,0.577,0.1
1.79999966,0.578,0.1
1.79999966,0.579,0.1
1.79999966,0.58,0.1
1.79999966,0.581,0.1
1.79999966,0.582,0.1
1.79999966,0.583,0.1
1.79999966,0.584,0.1
1.79999966,0.585,0.1
1.79999966,0.586,0.1
1.79999966,0.587,0.1
1.79999966,0.588,0.1
1.79999966,0.589,0.1
1.79999967,0.59,0.1
1.79999967,0.591,0.1
1.79999966,0.592,0.1
1.79999967,0.593,0.1
1.79999966,0.594,0.1
1.79999966,0.595,0.1
1.79999966,0.596,0.1
1.79999966,0.597,0.1
1.79999967,0.598,0.1
1.79999966,0.599,0.1
1.79999966,0.6,0.1
1.79999966,0.601,0.1
1.79999967,0.602,0.1
1.79999967,0.603,0.1
1.79999967,0.604,0.1
1.79999967,0.605,0.1
1.79999967,0.606,0.1
1.79999967,0.607,0.1
1.79999967,0.608,0.1
1.79999967,0.609,0.1
1.79999967,0.61,0.1
1.79999967,0.611,0.1
1.79999967,0.612,0.1
1.79999967,0.613,0.1
1.79999967,0.614,0.1
1.79999967,0.615,0.1
1.79999967,0.616,0.1
1.79999967,0.617,0.1
1.79999967,0.618,0.1
1.79999967,0.619,0.1
1.79999967,0.62,0.1
