Iout,V1,V2,Vout
-3.66580423E-07,0.3,0.5,0.9
-3.66580302E-07,0.30001,0.5,0.9
-3.66580252E-07,0.30002,0.5,0.9
-3.66580153E-07,0.30003,0.5,0.9
-3.66579975E-07,0.30004,0.5,0.9
-3.66579876E-07,0.30005,0.5,0.9
-3.66579734E-07,0.30006,0.5,0.9
-3.66579641E-07,0.30007,0.5,0.9
-3.66579549E-07,0.30008,0.5,0.9
-3.66579386E-07,0.30009,0.5,0.9
-3.66579314E-07,0.3001,0.5,0.9
-3.66579158E-07,0.30011,0.5,0.9
-3.66579073E-07,0.30012,0.5,0.9
-3.66579009E-07,0.30013,0.5,0.9
-3.66578888E-07,0.30014,0.5,0.9
-3.66578675E-07,0.30015,0.5,0.9
-3.66578625E-07,0.30016,0.5,0.9
-3.6657849E-07,0.30017,0.5,0.9
-3.66578448E-07,0.30018,0.5,0.9
-3.66578249E-07,0.30019,0.5,0.9
-3.66578107E-07,0.3002,0.5,0.9
-3.66578028E-07,0.30021,0.5,0.9
-3.66577915E-07,0.30022,0.5,0.9
-3.66577837E-07,0.30023,0.5,0.9
-3.66577652E-07,0.30024,0.5,0.9
-3.66577538E-07,0.30025,0.5,0.9
-3.66577467E-07,0.30026,0.5,0.9
-3.66577318E-07,0.30027,0.5,0.9
-3.66577282E-07,0.30028,0.5,0.9
-3.66577098E-07,0.30029,0.5,0.9
-3.66576984E-07,0.3003,0.5,0.9
-3.66576884E-07,0.30031,0.5,0.9
-3.66576792E-07,0.30032,0.5,0.9
-3.66576664E-07,0.30033,0.5,0.9
-3.66576486E-07,0.30034,0.5,0.9
-3.66576373E-07,0.30035,0.5,0.9
-3.66576323E-07,0.30036,0.5,0.9
-3.66576174E-07,0.30037,0.5,0.9
-3.66576145E-07,0.30038,0.5,0.9
-3.66575961E-07,0.30039,0.5,0.9
-3.66575804E-07,0.3004,0.5,0.9
-3.66575733E-07,0.30041,0.5,0.9
-3.66575698E-07,0.30042,0.5,0.9
-3.66575492E-07,0.30043,0.5,0.9
-3.66575371E-07,0.30044,0.5,0.9
-3.6657525E-07,0.30045,0.5,0.9
-3.66575179E-07,0.30046,0.5,0.9
-3.66575108E-07,0.30047,0.5,0.9
-3.66574888E-07,0.30048,0.5,0.9
-3.66574788E-07,0.30049,0.5,0.9
-3.66574632E-07,0.3005,0.5,0.9
-3.66574554E-07,0.30051,0.5,0.9
-3.6657444E-07,0.30052,0.5,0.9
-3.66574362E-07,0.30053,0.5,0.9
-3.66574227E-07,0.30054,0.5,0.9
-3.66574099E-07,0.30055,0.5,0.9
-3.66573992E-07,0.30056,0.5,0.9
-3.66573929E-07,0.30057,0.5,0.9
-3.66573786E-07,0.30058,0.5,0.9
-3.66573637E-07,0.30059,0.5,0.9
-3.66573531E-07,0.3006,0.5,0.9
-3.66573452E-07,0.30061,0.5,0.9
-3.6657336E-07,0.30062,0.5,0.9
-3.66573119E-07,0.30063,0.5,0.9
-3.66573083E-07,0.30064,0.5,0.9
-3.66572948E-07,0.30065,0.5,0.9
-3.66572891E-07,0.30066,0.5,0.9
-3.66572692E-07,0.30067,0.5,0.9
-3.66572614E-07,0.30068,0.5,0.9
