frequency,Tmag,Tphase
1,68.2384028,-0.167062144
1.12201845,68.2383932,-0.187446672
1.25892541,68.2383812,-0.21031843
1.41253754,68.238366,-0.235980886
1.58489319,68.238347,-0.264774521
1.77827941,68.238323,-0.297081352
1.99526231,68.2382927,-0.333329986
2.23872114,68.2382547,-0.374001303
2.51188643,68.2382068,-0.419634821
2.81838293,68.2381465,-0.470835834
3.16227766,68.2380706,-0.528283417
3.54813389,68.237975,-0.592739395
3.98107171,68.2378547,-0.665058399
4.46683592,68.2377032,-0.746199122
5.01187234,68.2375125,-0.837236932
5.62341325,68.2372725,-0.939377983
6.30957344,68.2369703,-1.05397499
7.07945784,68.2365899,-1.18254486
7.94328235,68.2361111,-1.3267884
8.91250938,68.2355083,-1.4886122
10,68.2347496,-1.6701531
11.2201845,68.2337947,-1.87380525
12.5892541,68.2325928,-2.10225011
14.1253754,68.2310801,-2.35848956
15.8489319,68.2291766,-2.64588214
17.7827941,68.2267813,-2.96818274
19.9526231,68.2237678,-3.32958535
22.3872114,68.2199769,-3.73476892
25.1188643,68.2152092,-4.18894564
28.1838293,68.2092144,-4.69791069
31.6227766,68.2016792,-5.26809199
35.4813389,68.1922115,-5.90659761
39.8107171,68.1803216,-6.62125718
44.6683592,68.1653993,-7.4206524
50.1187234,68.1466858,-8.31412948
56.2341325,68.1232409,-9.31178367
63.0957344,68.0939045,-10.4244029
70.7945784,68.0572516,-11.6633534
79.4328235,68.0115439,-13.0403861
89.1250938,67.9546771,-14.5673389
100,67.8841288,-16.255706
112.201845,67.7969128,-18.1160485
125.892541,67.6895477,-20.157224
141.253754,67.558051,-22.3854337
158.489319,67.3979744,-24.8031109
177.827941,67.2044932,-27.4077229
199.526231,66.9725655,-30.1906136
223.872114,66.6971648,-33.1360747
251.188643,66.3735801,-36.2208698
281.838293,65.9977577,-39.4144351
316.227766,65.5666428,-42.6799012
354.813389,65.078465,-45.9759416
398.107171,64.5329147,-49.259266
446.683592,63.9311754,-52.4874135
501.187234,63.2758029,-55.6214182
562.341325,62.5704796,-58.6279553
630.957344,61.8196887,-61.480713
707.945784,61.0283663,-64.1609194
794.328235,60.2015805,-66.6571212
891.250938,59.3442687,-68.9644126
1000,58.4610485,-71.0833468
1122.01845,57.556101,-73.0187355
1258.92541,56.633115,-74.7784907
1412.53754,55.6952778,-76.3726014
1584.89319,54.7452974,-77.8122875
1778.27941,53.7854441,-79.1093384
1995.26231,52.8176002,-80.2756201
2238.72114,51.8433134,-81.3227271
2511.88643,50.8638471,-82.2617496
2818.38293,49.880227,-83.1031301
3162.27766,48.893282,-83.8565859
3548.13389,47.9036798,-84.5310797
3981.07171,46.9119566,-85.1348228
4466.83592,45.918542,-85.6752997
5011.87234,44.9237798,-86.1593076
5623.41325,43.9279443,-86.5930026
6309.57344,42.9312546,-86.9819502
7079.45784,41.933885,-87.3311773
7943.28235,40.9359747,-87.6452266
8912.50938,39.937634,-87.9281893
10000,38.938951,-88.1837768
11220.1845,37.9399955,-88.4153464
12589.2541,36.940823,-88.6259471
14125.3754,35.9414773,-88.818354
15848.9319,34.9419932,-88.9951109
17782.7941,33.9423983,-89.1585584
19952.6231,32.9427141,-89.3108546
22387.2114,31.9429572,-89.4540176
25118.8643,30.9431408,-89.5899374
28183.8293,29.9432744,-89.7204248
31622.7766,28.9433654,-89.8472078
35481.3389,27.9434184,-89.9719622
