frequency,magnitude,phase
1,-0.0027778099,-6.45307252E-05
1.12201845,-0.0027778099,-7.24046645E-05
1.25892541,-0.0027778099,-8.12393697E-05
1.41253754,-0.0027778099,-9.11520721E-05
1.58489319,-0.0027778099,-0.000102274307
1.77827941,-0.0027778099,-0.00011475366
1.99526231,-0.00277780991,-0.000128755724
2.23872114,-0.00277780991,-0.000144466299
2.51188643,-0.00277780991,-0.000162093853
2.81838293,-0.00277780992,-0.000181872294
3.16227766,-0.00277780992,-0.000204064071
3.54813389,-0.00277780993,-0.000228963653
3.98107171,-0.00277780994,-0.000256901444
4.46683592,-0.00277780995,-0.000288248161
5.01187234,-0.00277780997,-0.000323419756
5.62341325,-0.00277780999,-0.000362882935
6.30957344,-0.00277781001,-0.00040716135
7.07945784,-0.00277781004,-0.000456842548
7.94328235,-0.00277781008,-0.00051258577
8.91250938,-0.00277781013,-0.000575130693
10,-0.00277781019,-0.000645307252
11.2201845,-0.00277781027,-0.000724046645
12.5892541,-0.00277781037,-0.000812393697
14.1253754,-0.00277781049,-0.000911520721
15.8489319,-0.00277781065,-0.00102274307
17.7827941,-0.00277781084,-0.0011475366
19.9526231,-0.00277781109,-0.00128755724
22.3872114,-0.0027778114,-0.00144466298
25.1188643,-0.00277781179,-0.00162093853
28.1838293,-0.00277781228,-0.00181872294
31.6227766,-0.0027778129,-0.00204064071
35.4813389,-0.00277781368,-0.00228963653
39.8107171,-0.00277781466,-0.00256901444
44.6683592,-0.00277781589,-0.00288248161
50.1187234,-0.00277781744,-0.00323419756
56.2341325,-0.00277781939,-0.00362882935
63.0957344,-0.00277782185,-0.0040716135
70.7945784,-0.00277782495,-0.00456842548
79.4328235,-0.00277782885,-0.0051258577
89.1250938,-0.00277783376,-0.00575130693
100,-0.00277783994,-0.00645307251
112.201845,-0.00277784772,-0.00724046644
125.892541,-0.00277785751,-0.00812393696
141.253754,-0.00277786984,-0.00911520718
158.489319,-0.00277788536,-0.0102274307
177.827941,-0.00277790467,-0.0114753659
199.526231,-0.00277792927,-0.0128755723
223.872114,-0.00277796024,-0.0144466297
251.188643,-0.00277799923,-0.0162093851
281.838293,-0.00277804831,-0.0181872292
316.227766,-0.0027781101,-0.0204064067
354.813389,-0.00277818789,-0.0228963649
398.107171,-0.00277828582,-0.0256901438
446.683592,-0.0027784091,-0.0288248153
501.187234,-0.00277856431,-0.0323419745
562.341325,-0.0027787597,-0.0362882919
630.957344,-0.00277900547,-0.0407161326
707.945784,-0.00277931515,-0.0456842515
794.328235,-0.00277970501,-0.0512585724
891.250938,-0.0027801956,-0.0575130627
1000,-0.0027808135,-0.0645307159
1122.01845,-0.00278159115,-0.0724046514
1258.92541,-0.00278257023,-0.0812393513
1412.53754,-0.00278380264,-0.0911520459
1584.89319,-0.00278535449,-0.10227427
1778.27941,-0.00278730799,-0.114753608
1995.26231,-0.0027897672,-0.12875565
2238.72114,-0.00279286333,-0.144466195
2511.88643,-0.00279676107,-0.162093706
2818.38293,-0.00280166804,-0.181872087
3162.27766,-0.00280784561,-0.204063778
3548.13389,-0.0028156226,-0.22896324
3981.07171,-0.00282541325,-0.25690086
4466.83592,-0.00283773883,-0.288247336
5011.87234,-0.00285325587,-0.323418591
5623.41325,-0.00287279063,-0.362881289
6309.57344,-0.00289738338,-0.407159025
7079.45784,-0.00292834355,-0.456839265
7943.28235,-0.00296731992,-0.512581132
8912.50938,-0.00301638796,-0.575124142
10000,-0.00307816012,-0.645297997
11220.1845,-0.00315592583,-0.724033572
12589.2541,-0.00325382572,-0.812375233
14125.3754,-0.00337707171,-0.911494639
15848.9319,-0.00353222563,-1.02270623
17782.7941,-0.00372754684,-1.14748456
19952.6231,-0.00397343184,-1.28748374
22387.2114,-0.00428296769,-1.44455917
25118.8643,-0.00467262631,-1.62079189
28183.8293,-0.00516313954,-1.81851582
31622.7766,-0.00578059867,-2.04034816
35481.3389,-0.00655783795,-2.28922333
39810.7171,-0.00753617339,-2.56843085
44668.3592,-0.00876758452,-2.88165738
50118.7234,-0.01031746,-3.23303352
56234.1325,-0.012268036,-3.62718547
63095.7344,-0.0147227132,-4.06929213
70794.5784,-0.0178114606,-4.56514763
79432.8235,-0.0216975758,-5.12122971
89125.0938,-0.0265861279,-5.74477344
100000,-0.0327344753,-6.44385031
112201.845,-0.0404653401,-7.22745147
125892.541,-0.0501829974,-8.1055736
141253.754,-0.0623932427,-9.08930511
158489.319,-0.0777278732,-10.1909083
177827.941,-0.0969745017,-11.4238922
199526.231,-0.121112531,-12.8030679
223872.114,-0.151356048,-14.3445746
251188.643,-0.189204198,-16.0658627
281838.293,-0.236499146,-17.9856128
316227.766,-0.295490945,-20.1235676
354813.389,-0.368907454,-22.5002496
398107.171,-0.460025567,-25.1365319
446683.592,-0.572737771,-28.0530361
501187.234,-0.711605135,-31.2693391
562341.325,-0.88188509,-34.8029896
630957.344,-1.08952028,-38.6683695
707945.784,-1.34107599,-42.8754909
794328.235,-1.64361685,-47.4288547
891250.938,-2.00452547,-52.326568
1000000,-2.43127873,-57.5599026
1122018.45,-2.93121709,-63.1134454
1258925.41,-3.511356,-68.965867
1412537.54,-4.17829036,-75.0911343
1584893.19,-4.93823493,-81.4598267
1778279.41,-5.79720527,-88.0400387
