Iout,V1,V2,Vout
-3.63968493E-07,0.3,0.5,0.6
-3.63968372E-07,0.30001,0.5,0.6
-3.63968304E-07,0.30002,0.5,0.6
-3.63968201E-07,0.30003,0.5,0.6
-3.63968059E-07,0.30004,0.5,0.6
-3.63967903E-07,0.30005,0.5,0.6
-3.63967796E-07,0.30006,0.5,0.6
-3.63967722E-07,0.30007,0.5,0.6
-3.63967612E-07,0.30008,0.5,0.6
-3.63967473E-07,0.30009,0.5,0.6
-3.63967363E-07,0.3001,0.5,0.6
-3.63967217E-07,0.30011,0.5,0.6
-3.63967082E-07,0.30012,0.5,0.6
-3.63967043E-07,0.30013,0.5,0.6
-3.63966922E-07,0.30014,0.5,0.6
-3.63966738E-07,0.30015,0.5,0.6
-3.63966667E-07,0.30016,0.5,0.6
-3.6396662E-07,0.30017,0.5,0.6
-3.63966471E-07,0.30018,0.5,0.6
-3.63966393E-07,0.30019,0.5,0.6
-3.63966269E-07,0.3002,0.5,0.6
-3.63966144E-07,0.30021,0.5,0.6
-3.63966031E-07,0.30022,0.5,0.6
-3.6396591E-07,0.30023,0.5,0.6
-3.63965778E-07,0.30024,0.5,0.6
-3.63965636E-07,0.30025,0.5,0.6
-3.63965533E-07,0.30026,0.5,0.6
-3.63965434E-07,0.30027,0.5,0.6
-3.63965345E-07,0.30028,0.5,0.6
-3.63965192E-07,0.30029,0.5,0.6
-3.63965061E-07,0.3003,0.5,0.6
-3.63964958E-07,0.30031,0.5,0.6
-3.63964837E-07,0.30032,0.5,0.6
-3.63964748E-07,0.30033,0.5,0.6
-3.63964695E-07,0.30034,0.5,0.6
-3.6396451E-07,0.30035,0.5,0.6
-3.639644E-07,0.30036,0.5,0.6
-3.63964251E-07,0.30037,0.5,0.6
-3.63964162E-07,0.30038,0.5,0.6
-3.63964137E-07,0.30039,0.5,0.6
-3.63963942E-07,0.3004,0.5,0.6
-3.63963832E-07,0.30041,0.5,0.6
-3.63963725E-07,0.30042,0.5,0.6
-3.63963615E-07,0.30043,0.5,0.6
-3.63963398E-07,0.30044,0.5,0.6
-3.63963316E-07,0.30045,0.5,0.6
-3.6396326E-07,0.30046,0.5,0.6
-3.63963171E-07,0.30047,0.5,0.6
-3.63963021E-07,0.30048,0.5,0.6
-3.63962872E-07,0.30049,0.5,0.6
-3.63962748E-07,0.3005,0.5,0.6
-3.63962606E-07,0.30051,0.5,0.6
-3.63962553E-07,0.30052,0.5,0.6
-3.63962471E-07,0.30053,0.5,0.6
-3.63962261E-07,0.30054,0.5,0.6
-3.63962183E-07,0.30055,0.5,0.6
-3.63962098E-07,0.30056,0.5,0.6
-3.6396197E-07,0.30057,0.5,0.6
-3.63961931E-07,0.30058,0.5,0.6
-3.6396175E-07,0.30059,0.5,0.6
-3.63961654E-07,0.3006,0.5,0.6
-3.63961536E-07,0.30061,0.5,0.6
-3.63961451E-07,0.30062,0.5,0.6
-3.63961281E-07,0.30063,0.5,0.6
-3.63961142E-07,0.30064,0.5,0.6
-3.63961007E-07,0.30065,0.5,0.6
-3.63960925E-07,0.30066,0.5,0.6
-3.63960801E-07,0.30067,0.5,0.6
-3.63960719E-07,0.30068,0.5,0.6
-3.63960584E-07,0.30069,0.5,0.6
-3.63960442E-07,0.3007,0.5,0.6
-3.63960375E-07,0.30071,0.5,0.6
-3.63960279E-07,0.30072,0.5,0.6
-3.63960094E-07,0.30073,0.5,0.6
-3.63960041E-07,0.30074,0.5,0.6
-3.63959924E-07,0.30075,0.5,0.6
-3.63959806E-07,0.30076,0.5,0.6
-3.63959636E-07,0.30077,0.5,0.6
-3.63959572E-07,0.30078,0.5,0.6
-3.63959455E-07,0.30079,0.5,0.6
-3.63959337E-07,0.3008,0.5,0.6
-3.63959202E-07,0.30081,0.5,0.6
-3.63959074E-07,0.30082,0.5,0.6
-3.63958982E-07,0.30083,0.5,0.6
-3.63958836E-07,0.30084,0.5,0.6
-3.63958765E-07,0.30085,0.5,0.6
-3.63958627E-07,0.30086,0.5,0.6
-3.63958478E-07,0.30087,0.5,0.6
-3.6395841E-07,0.30088,0.5,0.6
-3.63958321E-07,0.30089,0.5,0.6
-3.63958179E-07,0.3009,0.5,0.6
-3.63958044E-07,0.30091,0.5,0.6
-3.63957913E-07,0.30092,0.5,0.6
-3.63957827E-07,0.30093,0.5,0.6
-3.63957696E-07,0.30094,0.5,0.6
-3.63957614E-07,0.30095,0.5,0.6
-3.63957437E-07,0.30096,0.5,0.6
-3.63957334E-07,0.30097,0.5,0.6
-3.63957245E-07,0.30098,0.5,0.6
-3.63957174E-07,0.30099,0.5,0.6
-3.63956943E-07,0.301,0.5,0.6
-3.63956929E-07,0.30101,0.5,0.6
-3.63956783E-07,0.30102,0.5,0.6
-3.63956637E-07,0.30103,0.5,0.6
-3.63956598E-07,0.30104,0.5,0.6
-3.63956381E-07,0.30105,0.5,0.6
-3.63956271E-07,0.30106,0.5,0.6
-3.63956161E-07,0.30107,0.5,0.6
-3.63956079E-07,0.30108,0.5,0.6
-3.63955927E-07,0.30109,0.5,0.6
-3.63955799E-07,0.3011,0.5,0.6
-3.63955714E-07,0.30111,0.5,0.6
-3.63955685E-07,0.30112,0.5,0.6
-3.63955518E-07,0.30113,0.5,0.6
-3.63955373E-07,0.30114,0.5,0.6
-3.63955266E-07,0.30115,0.5,0.6
-3.63955166E-07,0.30116,0.5,0.6
-3.63955035E-07,0.30117,0.5,0.6
-3.63954879E-07,0.30118,0.5,0.6
-3.63954793E-07,0.30119,0.5,0.6
-3.63954666E-07,0.3012,0.5,0.6
-3.63954548E-07,0.30121,0.5,0.6
-3.63954538E-07,0.30122,0.5,0.6
-3.63954282E-07,0.30123,0.5,0.6
-3.63954243E-07,0.30124,0.5,0.6
-3.63954126E-07,0.30125,0.5,0.6
-3.63954019E-07,0.30126,0.5,0.6
-3.63953852E-07,0.30127,0.5,0.6
-3.63953724E-07,0.30128,0.5,0.6
-3.63953657E-07,0.30129,0.5,0.6
-3.63953554E-07,0.3013,0.5,0.6
-3.63953404E-07,0.30131,0.5,0.6
-3.63953308E-07,0.30132,0.5,0.6
-3.63953152E-07,0.30133,0.5,0.6
-3.6395307E-07,0.30134,0.5,0.6
-3.63952942E-07,0.30135,0.5,0.6
-3.63952761E-07,0.30136,0.5,0.6
-3.63952729E-07,0.30137,0.5,0.6
-3.63952584E-07,0.30138,0.5,0.6
-3.63952481E-07,0.30139,0.5,0.6
-3.63952307E-07,0.3014,0.5,0.6
-3.63952232E-07,0.30141,0.5,0.6
-3.63952143E-07,0.30142,0.5,0.6
-3.63952015E-07,0.30143,0.5,0.6
-3.63951862E-07,0.30144,0.5,0.6
-3.63951784E-07,0.30145,0.5,0.6
-3.6395161E-07,0.30146,0.5,0.6
-3.63951564E-07,0.30147,0.5,0.6
-3.63951422E-07,0.30148,0.5,0.6
-3.63951273E-07,0.30149,0.5,0.6
-3.63951216E-07,0.3015,0.5,0.6
-3.6395106E-07,0.30151,0.5,0.6
-3.63951006E-07,0.30152,0.5,0.6
-3.6395085E-07,0.30153,0.5,0.6
-3.6395075E-07,0.30154,0.5,0.6
-3.63950626E-07,0.30155,0.5,0.6
-3.63950502E-07,0.30156,0.5,0.6
-3.63950321E-07,0.30157,0.5,0.6
-3.63950232E-07,0.30158,0.5,0.6
-3.63950104E-07,0.30159,0.5,0.6
-3.63950026E-07,0.3016,0.5,0.6
-3.63949919E-07,0.30161,0.5,0.6
-3.63949752E-07,0.30162,0.5,0.6
-3.63949688E-07,0.30163,0.5,0.6
-3.6394956E-07,0.30164,0.5,0.6
-3.63949436E-07,0.30165,0.5,0.6
-3.6394928E-07,0.30166,0.5,0.6
-3.63949212E-07,0.30167,0.5,0.6
-3.63949074E-07,0.30168,0.5,0.6
-3.63948953E-07,0.30169,0.5,0.6
-3.63948804E-07,0.3017,0.5,0.6
-3.63948768E-07,0.30171,0.5,0.6
-3.63948629E-07,0.30172,0.5,0.6
-3.63948494E-07,0.30173,0.5,0.6
-3.6394831E-07,0.30174,0.5,0.6
-3.63948228E-07,0.30175,0.5,0.6
-3.63948178E-07,0.30176,0.5,0.6
-3.63948065E-07,0.30177,0.5,0.6
-3.63947926E-07,0.30178,0.5,0.6
-3.63947791E-07,0.30179,0.5,0.6
-3.63947684E-07,0.3018,0.5,0.6
-3.63947546E-07,0.30181,0.5,0.6
-3.63947457E-07,0.30182,0.5,0.6
-3.63947301E-07,0.30183,0.5,0.6
-3.63947205E-07,0.30184,0.5,0.6
-3.6394712E-07,0.30185,0.5,0.6
-3.63947002E-07,0.30186,0.5,0.6
-3.63946846E-07,0.30187,0.5,0.6
-3.63946704E-07,0.30188,0.5,0.6
-3.6394664E-07,0.30189,0.5,0.6
-3.63946587E-07,0.3019,0.5,0.6
-3.6394632E-07,0.30191,0.5,0.6
-3.63946295E-07,0.30192,0.5,0.6
-3.63946121E-07,0.30193,0.5,0.6
-3.63946036E-07,0.30194,0.5,0.6
-3.63945901E-07,0.30195,0.5,0.6
-3.63945716E-07,0.30196,0.5,0.6
-3.6394567E-07,0.30197,0.5,0.6
-3.63945603E-07,0.30198,0.5,0.6
-3.63945439E-07,0.30199,0.5,0.6
-3.63945318E-07,0.302,0.5,0.6
-3.63945212E-07,0.30201,0.5,0.6
-3.63945105E-07,0.30202,0.5,0.6
-3.63945034E-07,0.30203,0.5,0.6
-3.6394486E-07,0.30204,0.5,0.6
-3.63944721E-07,0.30205,0.5,0.6
-3.63944654E-07,0.30206,0.5,0.6
-3.6394453E-07,0.30207,0.5,0.6
-3.63944341E-07,0.30208,0.5,0.6
-3.63944299E-07,0.30209,0.5,0.6
-3.63944164E-07,0.3021,0.5,0.6
-3.63944089E-07,0.30211,0.5,0.6
-3.63943879E-07,0.30212,0.5,0.6
